LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,LENGTH,REMARK
"4050052900","4050021500","4050022100","2","107","000","-",국기로,"0","0","000","60","0","0","0",107.56470000000,
"4050053000","4050022100","4050021500","2","107","000","-",국기로,"0","0","000","60","0","0","0",107.56820000000,
"4050053100","4050022900","4050021600","1","107","000","-",연북로,"0","0","000","50","0","0","0",108.99260000000,
"4050053200","4050021600","4050022900","1","107","000","-",연북로,"0","0","000","50","0","0","0",108.16720000000,
"4050053300","4050004500","4050022500","2","107","000","-",광평동로,"0","0","000","60","0","0","0",85.28450000000,
"4050053400","4050022500","4050004500","2","107","000","-",광평동로,"0","0","000","60","0","0","0",85.26650000000,
"4050053500","4050021700","4050021800","3","107","000","-",연북로,"0","0","000","70","0","0","0",589.45110000000,
"4050053600","4050021800","4050021700","3","107","000","-",연북로,"0","0","000","70","0","0","0",588.93720000000,
"4050053900","4050021800","4050021900","3","107","000","-",연북로,"0","0","000","70","0","0","0",62.36750000000,
"4050054000","4050021900","4050021800","3","107","000","-",연북로,"0","0","000","70","0","0","0",62.36740000000,
"4050054102","4050021801","4050021800","1","107","000","-",복지로,"0","0","000","10","0","0","0",805.55900000000,
"4050054201","4050021800","4050021801","1","107","000","-",복지로,"0","0","000","10","0","0","0",793.23470000000,
"4050054300","4050022000","4050021900","3","107","003","-",연북로,"0","0","000","70","0","0","0",158.95210000000,
"4050054400","4050021900","4050022000","3","107","003","-",연북로,"0","0","000","70","0","0","0",158.43700000000,
"4050054500","4050022000","4050022200","3","107","000","-",연북로,"0","0","000","70","0","0","0",96.59740000000,
"4050054600","4050022200","4050022000","3","107","000","-",연북로,"0","0","000","70","0","0","0",96.22500000000,
"4050054700","4050022300","4050022100","1","107","000","-",과원북4길,"0","0","000","50","0","0","0",236.66220000000,
