CS_ID,CS_NAME,lat,long,real_lat,real_long
4060022200,대륜동문화복지센터,33.2505420635,126.5125440044,33.25017414,126.5133719
4060000201,대륜동주민센터,33.248716373,126.5109962704,33.2481892,126.5111853
4060024200,서귀포소방서,33.2520185079,126.5678052165,33.2513091,126.5665175
4060029200,서귀포시청2청사,33.2548960402,126.5103611041,33.25557995,126.510526
4060000200,월드컵경기장,33.2490290745,126.5098640698,33.24621974,126.5092777
4060013500,강정보건지소,33.236095174,126.4783504903,33.2381279,126.4758905
4060006906,농업기술원,33.260223687,126.4901045393,33.2613191,126.4890452
4060000800,대천동주민센터,33.2511516704,126.4780390807,33.2507866,126.477585
4060036700,동홍동주민센터,33.2574736803,126.5684935484,33.2578824,126.5689267
4060006601,동홍주공5단지,33.2645862389,126.5618299057,33.2655963,126.5619494
4060036300,서귀포테니스장,33.2574453396,126.5644714285,33.25759736,126.5642119
4060018100,자치경찰단서귀포지역대청사,33.2453748837,126.5658053942,33.2450723,126.5658726
4060020200,정방동공영주차장,33.2476070087,126.5619431469,33.247828,126.5631604
4060020800,걸매축구장,33.2481273255,126.5530349011,33.2493324,126.5545758
4060020400,삼매봉도서관,33.2476886488,126.5513632899,33.2446568,126.5517975
4060001100,서귀포시청 1청사,33.2532003199,126.5610486726,33.2540922,126.5601945
4060016000,천지연폭포 주차장,33.2434564479,126.5607743274,33.2447447,126.5597544
4060045300,서귀포시장애인종합사회복지관,33.286421783,126.5872054209,33.2869372,126.5846411
4060043900,영천동주민센터,33.2685379846,126.5868064643,33.2687729,126.5867363
4060061900,예래동주민센터,33.2557716002,126.4013455103,33.2542814,126.3979513
4060017000,정방동문화의집,33.2448587959,126.5698203718,33.2465421,126.5703477
4060048700,색달쓰레기매립장,33.3078287253,126.4197574321,33.3070418,126.419081
4060001400,자광원,33.2528148846,126.4482524352,33.2477147,126.4485341
4060023100,중문동주민센터,33.2511464648,126.4338072575,33.25333129,126.4336393
4060020100,중앙공영주차장,33.2475906308,126.561546853,33.2499207,126.5599672
4060005500,효돈동주민센터,33.2636303978,126.6175261681,33.2633204,126.6156251
4060004000,효돈축구공원,33.2606438667,126.6123743864,33.2583809,126.6103677772
4080084900,남원생활체육관,33.2789377689,126.7045102991,33.27810723,126.705244
4080006200,남원읍사무소,33.2794612382,126.7202689701,33.2797843,126.7205951
4080004200,동부보건소,33.2751192747,126.7016834977,33.2757617,126.7034172
4080119000,서귀포농업기술센터,33.2899961334,126.606238593,33.28833481,126.6072502
4080086300,제주공천포전지훈련센터,33.2809571995,126.6350732149,33.2771177,126.6413556
4080122800,대정 영어교육도시,33.2807565301,126.2796106144,33.28794082,126.2818294
4080074500,하모2리주차장,33.2235154992,126.2523093731,33.2238582,126.2504231
4080005701,무릉문화의집,33.2724877952,126.1995240879,33.2734542,126.1990405
4080074300,서귀포시서부종합사회복지관,33.2233077886,126.2477764039,33.22390252,126.2478797
4080072900,서부보건소,33.2190813652,126.2534563845,33.2187035,126.2534156
4080069700,송악산 공영주차장,33.2066309464,126.2892931257,33.2059597,126.2867586
4080001400,제주추사관,33.2496642411,126.2790223553,33.2499613,126.2790157
4080023000,동부소방서,33.4609519282,126.9106366994,33.460229,126.9100702
4080022500,동부종합사회복지관,33.4471827099,126.9125788865,33.4467084,126.9133734
4080022300,성산읍사무소,33.4441208041,126.9129477621,33.4424138,126.9110996
4080018800,신산 청소년 문화의 집,33.3828609606,126.8772996677,33.3811222,126.8773508
4080107900,혼인지,33.4143597776,126.8935296892,33.4149305,126.8941019
4080079500,안덕면사무소,33.2534161652,126.3300388042,33.2575319,126.3307426
4080014800,표선면사무소,33.3260317412,126.8327433547,33.3262254,126.8321113
4050062700,건입동주민센터,33.5132239289,126.5319639178,33.5150116,126.5315988
4050060500,제주시 평생학습센터,33.5123175548,126.5477312613,33.5140706,126.5474449
4050068300,제주항여객터미널,33.5189438668,126.5353332611,33.51953529,126.5350373
4050005700,노형동주민센터,33.4846423354,126.4771237919,33.48306793,126.4771831
4050032900,노형삼다아파트 앞 공영주차장,33.4863793351,126.4763103554,33.4863121,126.4763326
4050003500,제주도근로자종합복지관,33.4695568775,126.4849485824,33.46969727,126.486231
4050002501,축산진흥원,33.4451041795,126.4887572607,33.4414666,126.4871027
4050020700,탐라도서관,33.4790690544,126.478066418,33.47919835,126.4771977
4050052000,도두동주민센터,33.5017383037,126.4674262298,33.5028684,126.4682368
4050044400,봉개동주민센터,33.4926772732,126.5937760423,33.4917114,126.5948784
4050016000,절물자연휴양림,33.4444574912,126.6276906058,33.4393726,126.6284479
4050016900,제주4.3평화공원,33.4486491472,126.6236349492,33.45086927,126.6206776
4050068000,해변공연장,33.5183586157,126.5248923856,33.518116,126.5241853
4050015400,삼양동주민센터,33.5210976165,126.5854003862,33.5218396,126.5857081
4050002402,삼양동주민센터,33.4489540231,126.5535974183,33.4526894,126.5531188
4050004001,아라동주민센터,33.4752678664,126.5451646048,33.4763055,126.5450535
4050001500,아라지구 공영주차장,33.4264693664,126.557150387,33.4261379,126.5626925
4050002200,양지공원,33.4385735227,126.5728949795,33.4400136,126.5799838
4050016700,인재개발원,33.4480419914,126.5584569179,33.4468976,126.5601614
4050028900,자치경찰단아라청사,33.4846883975,126.5437175423,33.4850238,126.5442901
4050007701,제주시각장애인복지관,33.470521898,126.5839748236,33.4710751,126.581262
4050021200,보건환경연구원,33.4798942098,126.4933183238,33.4798486,126.4951395
4050026800,설문대여성문화센터,33.4834386795,126.5009987614,33.4844207,126.500595
