NODE_ID,NODE_TYPE,NODE_NAME,lat,long,NODE_ID_OLD
3233,102,동홍동147,33.253,126.573,4060077900.0
3234,101,동홍동392-5,33.25,126.571,4060078000.0
3235,102,동홍동400,33.251,126.57,4060078100.0
3236,102,동홍동407-3,33.252,126.571,4060078200.0
3237,101,동홍동1312-1,33.262,126.562,4060078300.0
3238,102,동홍동1383-2,33.26,126.562,4060078400.0
3239,101,동홍동2174,33.264,126.57,4060078500.0
3240,101,서홍동282-4,33.263,126.557,4060078600.0
3241,102,서홍동2566,33.26,126.557,4060078700.0
3242,101,하례리210-1,33.26,126.63,4060078800.0
3243,102,동홍동1901-2,33.274,126.564,4060078900.0
3244,102,토평동2872-5,33.281,126.581,4060079000.0
3245,101,토평동1326-3,33.269,126.59,4060079100.0
3246,101,토평동1443-5,33.27,126.588,4060079200.0
3247,102,토평동3245,33.27,126.587,4060079300.0
3248,101,토평동1470-1,33.271,126.588,4060079400.0
3249,102,토평동2157,33.268,126.583,4060079500.0
3250,101,상효동792-2,33.268,126.598,4060079600.0
3251,101,하효동951-5,33.257,126.621,4060079700.0
3252,102,신효동910,33.259,126.61,4060079800.0
3253,102,하례리94-1,33.257,126.635,4060079900.0
3254,103,속성변화점,33.267,126.619,4060080000.0
3255,101,하례리589-6,33.27,126.632,4060080100.0
3256,102,하례리62-2,33.26,126.639,4060080200.0
3257,101,토평동2981,33.285,126.565,4060080300.0
3258,102,토평동2994-4,33.284,126.562,4060080400.0
3259,101,동홍동2029,33.286,126.558,4060080500.0
3260,101,동홍동2043,33.283,126.559,4060080600.0
3261,102,동홍동2005,33.282,126.562,4060080700.0
3262,101,위미리4591,33.287,126.672,4060080800.0
3263,102,하례리1894,33.294,126.606,4060080900.0
3264,102,하례리1691-2,33.291,126.606,4060081000.0
3265,102,하례리1887,33.309,126.611,4060081100.0
3266,102,보목동261,33.241,126.611,4060081200.0
3267,102,보목동1635,33.24,126.606,4060081300.0
3268,102,보목동1348-4,33.238,126.602,4060081400.0
3269,102,위미리산49-1,33.329,126.645,4060081500.0
3270,102,위미리산88-2,33.317,126.64,4060081600.0
3271,102,수망리산12-2,33.361,126.693,4060081700.0
3272,101,위미리4076-8,33.277,126.648,4060081800.0
3273,102,위미리3020-1,33.272,126.654,4060081900.0
3274,102,위미리1502-3,33.277,126.671,4060082000.0
3275,102,위미리4591-71,33.279,126.675,4060082100.0
3276,101,위미리984-5,33.278,126.673,4060082200.0
3277,102,위미리785-1,33.271,126.681,4060082300.0
3278,102,위미리4591-71,33.274,126.688,4060082400.0
3279,101,남원리1352-5,33.277,126.715,4060082500.0
3280,101,남원리1362-3,33.277,126.714,4060082600.0
3281,102,남원리1231-1,33.284,126.714,4060082700.0
3282,101,남원리75-3,33.28,126.723,4060082800.0
3283,102,남원리2490-116,33.28,126.724,4060082900.0
3284,101,남원리2494-3,33.281,126.723,4060083000.0
3285,101,태흥리70-2,33.29,126.758,4060083100.0
3286,101,태흥리582-2,33.289,126.746,4060083200.0
3287,102,태흥초등학교,33.287,126.742,4060083300.0
3288,102,태흥리1396-15,33.288,126.733,4060083400.0
3289,102,성읍리3174,33.416,126.756,4060083500.0
3290,102,수산리4543-2,33.441,126.824,4060083600.0
3291,102,표선리1582-1,33.324,126.827,4060083700.0
3292,102,표선면사무소,33.326,126.831,4060083800.0
3293,102,표선리1900-7,33.338,126.827,4060083900.0
3294,102,성읍리2684-3,33.403,126.779,4060084000.0
3295,101,성읍리1643-22,33.395,126.797,4060084100.0
3296,101,성읍리1643-30,33.395,126.798,4060084200.0
3297,101,성읍리1643-31,33.395,126.799,4060084300.0
3298,101,성읍리1643-31,33.395,126.798,4060084400.0
3299,102,온평리1065-3,33.402,126.901,4060084500.0
3300,101,하천리605-9,33.349,126.838,4060084600.0
3301,101,하천리457-4,33.347,126.84,4060084700.0
3302,101,하천리468-1,33.345,126.841,4060084800.0
3303,101,신천리7-11,33.35,126.864,4060084900.0
3304,102,신천리7,33.352,126.865,4060085000.0
3305,101,신천리205-6,33.345,126.858,4060085100.0
3306,101,신천리220-2,33.343,126.856,4060085200.0
3307,101,신천리353-13,33.34,126.855,4060085300.0
3308,102,신천리416-2,33.337,126.85,4060085400.0
3309,102,신천리353-13,33.339,126.855,4060085500.0
3310,102,표선리2611,33.332,126.843,4060085600.0
3311,101,온평리1103-2,33.401,126.901,4060085700.0
3312,101,온평리1374-2,33.397,126.899,4060085800.0
3313,102,온평리1268-3,33.394,126.9,4060085900.0
3314,102,성산중학교,33.443,126.91,4060086000.0
3315,102,시흥리2717,33.463,126.865,4060086100.0
3316,101,고성리298-67,33.45,126.916,4060086200.0
3317,101,라마다앙코르제주성산,33.45,126.917,4060086300.0
3318,102,오조리1365-1,33.466,126.905,4060086400.0
3319,102,오조리566-2,33.464,126.914,4060086500.0
3320,102,오조리2210,33.46,126.915,4060086600.0
3321,102,고성리496-9,33.438,126.916,4060086700.0
3322,102,고성리450-1,33.44,126.919,4060086800.0
3323,101,코업시티호텔성산,33.465,126.932,4060086900.0
3324,102,성산포항종합여객터미널,33.473,126.934,4060087000.0
