LINK_ID,F_NODE,T_NODE,LANES_,ROAD_RANK_,ROAD_TYPE_,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,MAX_SPD_,REST_VEH_,REST_W_,REST_H_,LENGTH,REMARK_
"4050033000","4050000900","4050000800",1.00000000,"107","000","-",산록도로,"0","0","000",40.00000000,"0",0.00000000,0.00000000,2994.29037952000,기존
"4050004901","4050002400","4050002301",1.00000000,"106","000","1117",지방도1117호선,"0","0","000",60.00000000,"0",0.00000000,0.00000000,350.22437995100,
"4050005001","4050002301","4050002400",1.00000000,"106","000","1117",지방도1117호선,"0","0","000",60.00000000,"0",0.00000000,0.00000000,341.43048139200,
"4050001702","4050000602","4050000601",1.00000000,"106","000","1112",지방도1112호선,"1","0","000",60.00000000,"0",0.00000000,0.00000000,137.99788537800,
"4050001802","4050000601","4050000602",1.00000000,"106","000","1112",지방도1112호선,"0","0","000",60.00000000,"0",0.00000000,0.00000000,129.10171707600,
"4050001703","4050001200","4050000602",1.00000000,"106","000","1112",지방도1112호선,"0","0","000",60.00000000,"0",0.00000000,0.00000000,1406.92898348000,
"4050001803","4050000602","4050001200",1.00000000,"106","000","1112",지방도1112호선,"0","0","000",60.00000000,"0",0.00000000,0.00000000,1404.29228654000,
"4050006709","4050004000","4050004002",1.00000000,"107","000","-",인다7길,"0","0","000",60.00000000,"0",0.00000000,0.00000000,265.91160991800,"영평교,월평교"
"4050006809","4050004002","4050004000",1.00000000,"107","000","-",인다7길,"0","0","000",60.00000000,"0",0.00000000,0.00000000,270.16239507900,"영평교,월평교"
"4050006703","4050004007","4050004008",2.00000000,"106","000","1136",지방도1136호선,"0","0","000",30.00000000,"0",0.00000000,0.00000000,326.72953459600,아봉로
"4050006803","4050004008","4050004007",2.00000000,"106","000","1136",지방도1136호선,"0","0","000",30.00000000,"0",0.00000000,0.00000000,330.64087641100,아봉로
"4050007901","4050004001","4050004000",3.00000000,"106","000","1131",지방도1131호선,"0","0","000",50.00000000,"0",0.00000000,0.00000000,186.25887628900,중앙로
"4050008001","4050004000","4050004001",3.00000000,"106","000","1131",지방도1131호선,"0","0","000",50.00000000,"0",0.00000000,0.00000000,188.90912862900,중앙로
"4050029701","4050014601","4050014500",3.00000000,"106","000","1132",지방도1132호선,"0","0","000",50.00000000,"0",0.00000000,0.00000000,295.30772557100,삼사석로
"4050029801","4050014500","4050014601",1.00000000,"106","000","1132",지방도1132호선,"0","0","000",30.00000000,"0",0.00000000,0.00000000,295.84329683400,삼사석로
"4050031801","4050015701","4050015700",3.00000000,"106","000","1132",지방도1132호선,"0","0","000",50.00000000,"0",0.00000000,0.00000000,58.79998291190,삼사석로
"4050031701","4050015700","4050015701",3.00000000,"106","000","1132",지방도1132호선,"0","0","000",50.00000000,"0",0.00000000,0.00000000,58.82074888900,삼사석로
"4050031802","4050015200","4050015701",3.00000000,"106","000","1132",지방도1132호선,"0","0","000",70.00000000,"0",0.00000000,0.00000000,941.06281999600,삼사석로
"4050031702","4050015701","4050015200",3.00000000,"106","000","1132",지방도1132호선,"0","0","000",70.00000000,"0",0.00000000,0.00000000,934.98555484000,삼사석로
"4050204500","4050015200","4050066400",1.00000000,"107","000","-",연삼로,"0","0","000",30.00000000,"0",0.00000000,0.00000000,957.34338989200,기존
"4050125000","4050010401","4050042300",2.00000000,"107","000","-",월랑로,"0","0","000",60.00000000,"0",0.00000000,0.00000000,337.21607303300,DGPS
"4050117600","4050042300","4050040100",2.00000000,"107","000","-",월랑로,"0","0","000",60.00000000,"0",0.00000000,0.00000000,208.58385099300,DGPS
"4050124700","4050042300","4050010100",3.00000000,"107","000","-",월광로,"0","0","000",70.00000000,"0",0.00000000,0.00000000,381.05572885600,
"4050124800","4050010100","4050042300",1.00000000,"107","000","-",월광로,"0","0","000",60.00000000,"0",0.00000000,0.00000000,387.52635242700,
"4050039500","4050017900","4050003100",1.00000000,"107","000","-",한북로,"0","0","000",60.00000000,"0",0.00000000,0.00000000,1178.39611438000,DGPS
"4050039600","4050003100","4050017900",1.00000000,"107","000","-",한북로,"0","0","000",60.00000000,"0",0.00000000,0.00000000,1197.39075026000,DGPS
"4050020602","4050010401","4050010100",2.00000000,"106","000","1132",지방도1132호선,"0","0","000",60.00000000,"0",0.00000000,0.00000000,511.92810208400,연도로
"4050020601","4050010400","4050010401",2.00000000,"106","000","1132",지방도1132호선,"0","0","000",60.00000000,"0",0.00000000,0.00000000,214.62764243200,연도로
"4050020501","4050010401","4050010400",2.00000000,"106","000","1132",지방도1132호선,"0","0","000",60.00000000,"0",0.00000000,0.00000000,214.96450511400,연도로
