LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,LENGTH,REMARK
"4060531600","4060177400","4060178000","1","107","000","-",시흥상동로,"0","0","000","50","0","0","0",532.42860000000,
"4060531700","4060176600","4060177100","1","107","000","-",시흥상동로53번길,"0","0","000","10","0","0","0",165.21400000000,
"4060531800","4060177100","4060176600","1","107","000","-",시흥상동로53번길,"0","0","000","10","0","0","0",180.54690000000,
"4060531900","4060177400","4060177100","1","107","000","-",시흥상동로,"0","0","000","50","0","0","0",46.64860000000,
"4060532000","4060177100","4060177400","1","107","000","-",시흥상동로,"0","0","000","50","0","0","0",45.67240000000,
"4060532100","4060177100","4060177000","1","107","000","-",시흥상동로,"0","0","000","30","0","0","0",56.13900000000,
"4060532200","4060177000","4060177100","1","107","000","-",시흥상동로,"0","0","000","30","0","0","0",57.82540000000,
"4060532300","4060177000","4060177600","1","107","000","-",시흥상동로,"0","0","000","30","0","0","0",677.02740000000,
"4060532400","4060177600","4060177000","1","107","000","-",시흥상동로,"0","0","000","30","0","0","0",690.56870000000,
"4050004600","4050002000","4050002300","1","106","000","1117",산록북로,"0","0","000","60","0","0","0",426.48380000000,
"4050004701","4050002403","4050002400","1","106","003","1131",516로,"0","0","000","30","0","0","0",80.70500000000,
"4050004703","4050002200","4050002201","1","106","000","1131",516로,"0","0","000","50","0","0","0",1713.29190000000,
"4050004704","4050002201","4050002403","1","106","000","1131",516로,"0","0","000","30","0","0","0",67.78810000000,
