CS_ID,CS_NAME,lat,long,real_lat,real_long
2764,대륜동문화복지센터,33.251,126.513,33.25017414,126.5133719
101,대륜동주민센터,33.249,126.511,33.2481892,126.5111853
3232,서귀포소방서,33.252,126.566,33.2513091,126.5665175
2867,서귀포시청2청사,33.256,126.511,33.25557995,126.510526
2722,월드컵경기장,33.246,126.506,33.24621974,126.5092777
2679,강정보건지소,33.238,126.475,33.2381279,126.4758905
2600,농업기술원,33.26,126.49,33.2613191,126.4890452
104,대천동주민센터,33.251,126.478,33.2507866,126.477585
2942,동홍동주민센터,33.258,126.57,33.2578824,126.5689267
166,동홍주공5단지,33.265,126.562,33.2655963,126.5619494
2922,서귀포테니스장,33.257,126.564,33.25759736,126.5642119
2720,자치경찰단서귀포지역대청사,33.245,126.566,33.2450723,126.5658726
2742,정방동공영주차장,33.248,126.562,33.247828,126.5631604
2740,걸매축구장,33.249,126.557,33.2493324,126.5545758
2694,삼매봉도서관,33.244,126.555,33.2446568,126.5517975
2537,서귀포시청 1청사,33.254,126.561,33.2540922,126.5601945
2746,서귀포예술의전당,33.248,126.551,33.24633333,126.5507905
382,천지연폭포 주차장,33.244,126.561,33.2447447,126.5597544
3024,서귀포시장애인종합사회복지관,33.286,126.587,33.2869372,126.5846411
3007,영천동주민센터,33.269,126.587,33.2687729,126.5867363
2777,예래동주민센터,33.254,126.398,33.2542814,126.3979513
2736,정방동문화의집,33.247,126.569,33.2465421,126.5703477
3058,색달쓰레기매립장,33.308,126.42,33.3070418,126.419081
2542,자광원,33.253,126.448,33.2477147,126.4485341
2532,중문동주민센터,33.253,126.433,33.25333129,126.4336393
2739,중앙공영주차장,33.25,126.559,33.2499207,126.5599672
146,효돈동주민센터,33.264,126.615,33.2633204,126.6156251
3252,효돈축구공원,33.259,126.61,33.2583809,126.6103677772
3782,남원생활체육관,33.279,126.705,33.27810723,126.705244
465,남원읍사무소,33.28,126.721,33.2797843,126.7205951
3774,동부보건소,33.275,126.702,33.2757617,126.7034172
3627,서귀포농업기술센터,33.287,126.608,33.28833481,126.6072502
3684,제주공천포전지훈련센터,33.277,126.638,33.2771177,126.6413556
3475,대정 영어교육도시,33.288,126.283,33.28794082,126.2818294
3404,하모2리주차장,33.224,126.252,33.2238582,126.2504231
3346,무릉문화의집,33.272,126.2,33.2734542,126.1990405
